cui,code,str
C3475162,A08AA51,phentermine and topiramate
C3652880,A08AA56,"ephedrine, combinations"
C3858054,A08AA62,bupropion and naltrexone
C3653397,A08AB,Peripherally acting antiobesity products
C0076275,A08AB01,orlistat
C3653901,A08AX,Other antiobesity drugs
C3653901,A08AX,Other antiobesity drugs in ATC
C1142933,A08AX01,rimonabant
C3653759,A09,"DIGESTIVES, INCL. ENZYMES"
C3653759,A09A,"DIGESTIVES, INCL. ENZYMES"
C3541960,A09AA,Enzyme preparations
C3541960,A09AA,"Enzyme preparations, digestives"
C0002712,A09AA01,diastase
C3652678,A09AA02,"multienzymes (lipase, protease etc.)"
C0030909,A09AA03,pepsin
C0083183,A09AA04,tilactase
C3654034,A09AB,Acid preparations
C3654034,A09AB,"Acid preparations, digestives"
C0304564,A09AB01,glutamic acid hydrochloride
C0282072,A09AB02,betaine hydrochloride
C0020259,A09AB03,hydrochloric acid
C0055819,A09AB04,citric acid
C3653657,A09AC,"Enzyme and acid preparations, combinations"
C3652725,A09AC01,pepsin and acid preparations
C3652739,A09AC02,multienzymes and acid preparations
C3653344,A10,DRUGS USED IN DIABETES
C3653579,A10A,INSULINS AND ANALOGUES
C3653577,A10AB,"Insulins and analogues for injection, fast-acting"
C0795635,A10AB01,insulin (human)
C0304866,A10AB02,insulin (beef)
C0770206,A10AB03,insulin (pork)
C0293359,A10AB04,insulin lispro
C0123677,A10AB05,insulin aspart
C1313386,A10AB06,insulin glulisine
C3540723,A10AB30,combinations
C3540723,A10AB30,"Insulins and analogs for injection, fast-acting combinations"
C3653576,A10AC,"Insulins and analogues for injection, intermediate-acting"
C0795635,A10AC01,insulin (human)
C0304866,A10AC02,insulin (beef)
C0770206,A10AC03,insulin (pork)
C0293359,A10AC04,insulin lispro
C3539974,A10AC30,combinations
C3539974,A10AC30,"Insulins and analogs for injection, intermediate-acting combinations"
C3653308,A10AD,"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
C3653308,A10AD,"Insulins and analogues for injection used in Diabetes, intermediate- or long-acting combined with fast-acting"
C0795635,A10AD01,insulin (human)
C0304866,A10AD02,insulin (beef)
C0770206,A10AD03,insulin (pork)
C0293359,A10AD04,insulin lispro
C0123677,A10AD05,insulin aspart
C3658013,A10AD06,insulin degludec and insulin aspart
C3539967,A10AD30,combinations
C3539967,A10AD30,"Insulins and analogs for injection, intermediate-acting combined with fast-acting- combinations"
C3653575,A10AE,"Insulins and analogues for injection, long-acting"
C0795635,A10AE01,insulin (human)
C0304866,A10AE02,insulin (beef)
C0770206,A10AE03,insulin (pork)
C0907402,A10AE04,insulin glargine
C0537270,A10AE05,insulin detemir
C3491971,A10AE06,insulin degludec
C5434213,A10AE07,insulin icodec
C3539966,A10AE30,combinations
C3539966,A10AE30,"insulins and analogs for injection combinations, long-acting"
C4293375,A10AE54,insulin glargine and lixisenatide
C4059165,A10AE56,insulin degludec and liraglutide
C3653578,A10AF,Insulins and analogues for inhalation
C0795635,A10AF01,insulin (human)
C3653824,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
C3540012,A10BA,biguanide blood glucose lower drugs
C3540012,A10BA,Biguanides
C0031404,A10BA01,phenformin
C0025598,A10BA02,metformin
C0006359,A10BA03,buformin
C3653359,A10BB,Sulfonylureas
C3653359,A10BB,Sulfonylureas for blood glucose lowering
