code,EMIS_term,product_name,substance_name,formulation,administration_route
4107341000033110,Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment extra wide size VII Beige (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment extra wide size VII,NA,NA,NA
4107441000033116,Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment extra wide petite size I Beige (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment extra wide petite size I,NA,NA,NA
4107541000033115,Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment extra wide petite size II Beige (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment extra wide petite size II,NA,NA,NA
4107641000033119,Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment extra wide petite size III Beige (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment extra wide petite size III,NA,NA,NA
4107741000033111,Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment extra wide petite size IV Beige (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment extra wide petite size IV,NA,NA,NA
4107841000033118,Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment extra wide petite size VI Beige (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment extra wide petite size VI,NA,NA,NA
4107941000033114,Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment extra wide petite size V Beige (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment extra wide petite size V,NA,NA,NA
4108041000033112,Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment extra wide petite size VII Beige (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) below knee open toe lymphoedema garment extra wide petite size VII,NA,NA,NA
4108141000033111,Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment petite size I Beige (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment petite size I,NA,NA,NA
4108241000033116,Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment petite size II Beige (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment petite size II,NA,NA,NA
4108341000033114,Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment petite size III Beige (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment petite size III,NA,NA,NA
4108441000033115,Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment petite size IV Beige (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment petite size IV,NA,NA,NA
4108541000033119,Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment petite size V Beige (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment petite size V,NA,NA,NA
4108641000033118,Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment petite size VI Beige (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment petite size VI,NA,NA,NA
4108741000033110,Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment petite size VII Beige (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment petite size VII,NA,NA,NA
4108841000033117,Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment size I Beige (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment size I,NA,NA,NA
4108941000033113,Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment size II Beige (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment size II,NA,NA,NA
4109041000033116,Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment size III Beige (Medi UK Ltd),Mediven Plus class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment size III,NA,NA,NA
